Opp ID,Opp Name,Account Name,Region,Industry,Status,Priority,Win Probability,Order Value,Closing Date,Opportunity Type,Sales Lead Name,Product Name,Opportunity Phase
OPP_22,Opportunity 22,LexCorp,South America,Technology,Pending,Medium,42,27267,2024-11-8,Upsell,Michael Jones,Salesforce,Qualification
OPP_23,Opportunity 23,Acme Corp,EMEA,Healthcare,Pending,Low,64,53201,2023-11-2,Cross-sell,Jane Smith,Salesforce,Qualification
OPP_24,Opportunity 24,Litware Inc,South America,Technology,Closed Won,Medium,30,57106,2024-5-21,Cross-sell,Jane Smith,Marketing Cloud,Closed Won
OPP_25,Opportunity 25,Litware Inc,APAC,Healthcare,Closed Won,Medium,38,31864,2024-11-11,Cross-sell,Michael Jones,Salesforce,Qualification
OPP_26,Opportunity 26,Acme Corp,North America,Finance,Closed Won,Low,86,32556,2023-3-18,Cross-sell,John Doe,Service Cloud,Closed Won
OPP_27,Opportunity 27,Litware Inc,APAC,Healthcare,New,Medium,43,51737,2024-12-1,Upsell,Jane Smith,Salesforce,Closed Won
OPP_28,Opportunity 28,Wayne Enterprises,EMEA,Technology,New,High,71,20272,2024-6-12,Upsell,John Doe,Marketing Cloud,Proposal/Quote
OPP_29,Opportunity 29,Litware Inc,EMEA,Retail,Closed Lost,Medium,67,69604,2023-11-15,New Business,Jane Smith,Service Cloud,Proposal/Quote
OPP_30,Opportunity 30,Wayne Enterprises,EMEA,Finance,Closed Won,High,24,40085,2023-3-14,Cross-sell,Jane Smith,Marketing Cloud,Qualification
OPP_31,Opportunity 31,LexCorp,South America,Finance,New,Medium,27,65990,2023-10-15,Upsell,Jane Smith,Marketing Cloud,Proposal/Quote
OPP_32,Opportunity 32,Acme Corp,EMEA,Retail,Pending,Low,24,64301,2024-5-21,Upsell,John Doe,Salesforce,Closed Lost
OPP_33,Opportunity 33,LexCorp,North America,Healthcare,New,Low,89,96793,2023-9-16,Cross-sell,Jane Smith,Salesforce,Closed Lost
OPP_34,Opportunity 34,Wayne Enterprises,APAC,Technology,Closed Won,Medium,29,42709,2023-3-26,New Business,Jane Smith,Salesforce,Qualification
OPP_35,Opportunity 35,Wayne Enterprises,North America,Healthcare,Closed Won,Low,41,16603,2024-3-3,Cross-sell,Michael Jones,Service Cloud,Proposal/Quote
OPP_36,Opportunity 36,Wayne Enterprises,South America,Retail,Pending,Low,68,92118,2023-1-15,Cross-sell,Michael Jones,Service Cloud,Qualification
OPP_37,Opportunity 37,LexCorp,APAC,Healthcare,Pending,Low,87,66264,2024-10-21,Upsell,Michael Jones,Marketing Cloud,Qualification
OPP_38,Opportunity 38,Litware Inc,North America,Healthcare,New,Low,22,41042,2024-10-4,Cross-sell,Michael Jones,Marketing Cloud,Closed Won
OPP_39,Opportunity 39,Acme Corp,EMEA,Finance,New,High,23,93297,2023-9-28,New Business,Jane Smith,Salesforce,Closed Lost
OPP_40,Opportunity 40,Acme Corp,South America,Retail,Pending,High,88,49307,2023-3-7,Cross-sell,John Doe,Marketing Cloud,Closed Won
OPP_41,Opportunity 41,LexCorp,North America,Retail,Closed Lost,Low,53,91880,2023-9-28,Upsell,Michael Jones,Marketing Cloud,Negotiation
OPP_42,Opportunity 42,Wayne Enterprises,South America,Finance,Pending,Low,37,91514,2023-9-12,New Business,John Doe,Marketing Cloud,Qualification
OPP_43,Opportunity 43,Wayne Enterprises,North America,Healthcare,New,Medium,60,33951,2024-8-5,Cross-sell,Michael Jones,Salesforce,Closed Won
OPP_44,Opportunity 44,Litware Inc,EMEA,Healthcare,Closed Won,Low,34,74525,2023-6-11,Upsell,Michael Jones,Service Cloud,Closed Lost
OPP_45,Opportunity 45,Litware Inc,EMEA,Finance,New,High,62,17359,2023-6-4,New Business,John Doe,Service Cloud,Closed Won
OPP_46,Opportunity 46,Litware Inc,APAC,Finance,Closed Won,Medium,34,27487,2023-6-28,Upsell,Michael Jones,Service Cloud,Qualification
OPP_47,Opportunity 47,Acme Corp,South America,Healthcare,Pending,Medium,69,34890,2023-12-3,New Business,Jane Smith,Salesforce,Closed Lost
OPP_48,Opportunity 48,LexCorp,North America,Technology,New,Medium,49,1942,2024-10-19,New Business,John Doe,Service Cloud,Negotiation
OPP_49,Opportunity 49,LexCorp,APAC,Healthcare,Closed Lost,Low,68,87774,2024-1-13,New Business,Michael Jones,Salesforce,Proposal/Quote
OPP_50,Opportunity 50,Acme Corp,North America,Retail,Closed Won,High,27,70117,2023-2-17,New Business,Michael Jones,Service Cloud,Closed Lost
OPP_51,Opportunity 51,Litware Inc,North America,Finance,Closed Lost,High,58,16015,2023-2-22,Cross-sell,Michael Jones,Salesforce,Negotiation
OPP_52,Opportunity 52,Acme Corp,EMEA,Healthcare,Closed Lost,Low,43,31996,2024-9-27,Upsell,Jane Smith,Service Cloud,Closed Lost
OPP_53,Opportunity 53,Acme Corp,North America,Healthcare,Closed Won,Medium,37,97384,2023-1-26,Cross-sell,Jane Smith,Salesforce,Negotiation
OPP_54,Opportunity 54,Litware Inc,APAC,Technology,New,Medium,80,41931,2023-6-5,New Business,Jane Smith,Marketing Cloud,Proposal/Quote
OPP_55,Opportunity 55,Acme Corp,North America,Technology,Closed Won,High,22,92048,2024-10-20,New Business,Jane Smith,Salesforce,Closed Lost
OPP_56,Opportunity 56,Wayne Enterprises,APAC,Retail,New,Medium,41,37475,2023-12-13,Upsell,Michael Jones,Marketing Cloud,Qualification
OPP_57,Opportunity 57,Wayne Enterprises,South America,Retail,New,Medium,70,26910,2024-12-11,New Business,Michael Jones,Service Cloud,Closed Lost
OPP_58,Opportunity 58,Litware Inc,North America,Finance,New,Low,87,31572,2023-2-6,Upsell,Michael Jones,Service Cloud,Negotiation
OPP_59,Opportunity 59,Acme Corp,EMEA,Finance,Pending,Low,46,83509,2023-7-6,New Business,Jane Smith,Marketing Cloud,Closed Lost
OPP_60,Opportunity 60,Litware Inc,South America,Finance,New,Low,41,78656,2023-12-27,Upsell,John Doe,Marketing Cloud,Closed Lost
OPP_61,Opportunity 61,Litware Inc,North America,Healthcare,Closed Lost,Medium,65,91075,2024-7-2,New Business,Jane Smith,Service Cloud,Closed Lost
OPP_62,Opportunity 62,Wayne Enterprises,EMEA,Healthcare,Closed Lost,High,47,57896,2024-2-6,New Business,John Doe,Salesforce,Proposal/Quote
OPP_63,Opportunity 63,Litware Inc,North America,Finance,Closed Won,Low,22,88137,2024-11-4,Upsell,Jane Smith,Service Cloud,Proposal/Quote
OPP_64,Opportunity 64,Wayne Enterprises,APAC,Technology,Closed Lost,High,35,5269,2023-3-18,Upsell,Michael Jones,Marketing Cloud,Closed Lost
OPP_65,Opportunity 65,Wayne Enterprises,APAC,Healthcare,Pending,High,63,2099,2023-6-4,New Business,Michael Jones,Salesforce,Qualification
OPP_66,Opportunity 66,Acme Corp,EMEA,Technology,New,Low,55,80767,2024-10-22,Upsell,Jane Smith,Marketing Cloud,Closed Lost
OPP_67,Opportunity 67,Litware Inc,North America,Finance,Closed Lost,High,54,83135,2023-12-27,New Business,John Doe,Marketing Cloud,Proposal/Quote
OPP_68,Opportunity 68,LexCorp,EMEA,Retail,Closed Lost,Medium,76,87205,2024-2-15,New Business,John Doe,Service Cloud,Closed Won
OPP_69,Opportunity 69,Acme Corp,APAC,Technology,Closed Won,Low,39,81472,2024-12-18,Upsell,John Doe,Salesforce,Negotiation
OPP_70,Opportunity 70,Wayne Enterprises,North America,Technology,Closed Won,High,42,49870,2024-11-24,Cross-sell,Michael Jones,Salesforce,Closed Won
OPP_71,Opportunity 71,LexCorp,North America,Retail,Pending,Medium,24,73309,2023-7-23,New Business,Michael Jones,Salesforce,Qualification
OPP_72,Opportunity 72,Litware Inc,EMEA,Finance,Closed Won,High,23,8265,2023-7-8,Cross-sell,Michael Jones,Marketing Cloud,Negotiation
OPP_73,Opportunity 73,LexCorp,North America,Finance,Pending,High,69,72113,2024-8-3,New Business,John Doe,Marketing Cloud,Closed Won
OPP_74,Opportunity 74,Acme Corp,APAC,Retail,Closed Won,High,56,84134,2023-10-15,Cross-sell,John Doe,Salesforce,Negotiation
OPP_75,Opportunity 75,Litware Inc,North America,Technology,New,High,39,89649,2024-1-3,Cross-sell,Michael Jones,Service Cloud,Qualification
OPP_76,Opportunity 76,Litware Inc,EMEA,Healthcare,Pending,Medium,56,31735,2023-7-28,Upsell,Michael Jones,Salesforce,Negotiation
OPP_77,Opportunity 77,Wayne Enterprises,South America,Finance,New,Medium,52,53107,2023-9-11,New Business,Michael Jones,Salesforce,Closed Won
OPP_78,Opportunity 78,Litware Inc,APAC,Technology,Closed Won,Low,62,42495,2023-7-10,New Business,John Doe,Marketing Cloud,Closed Won
OPP_79,Opportunity 79,Acme Corp,South America,Finance,Closed Won,Low,73,30594,2023-1-21,New Business,Michael Jones,Salesforce,Closed Lost
OPP_80,Opportunity 80,Litware Inc,EMEA,Healthcare,New,Medium,83,3346,2023-3-23,Upsell,John Doe,Salesforce,Closed Lost
OPP_81,Opportunity 81,LexCorp,South America,Technology,Pending,Low,45,6831,2023-5-11,New Business,Jane Smith,Salesforce,Closed Lost
OPP_82,Opportunity 82,Acme Corp,APAC,Healthcare,Closed Won,Low,22,58034,2024-5-5,Upsell,John Doe,Service Cloud,Proposal/Quote
OPP_83,Opportunity 83,Litware Inc,EMEA,Retail,Closed Won,Medium,62,85904,2023-5-8,New Business,Jane Smith,Service Cloud,Proposal/Quote
OPP_84,Opportunity 84,Litware Inc,APAC,Retail,New,Medium,83,74521,2024-12-18,Upsell,Michael Jones,Salesforce,Proposal/Quote
OPP_85,Opportunity 85,LexCorp,EMEA,Technology,Pending,High,47,73384,2023-3-14,Upsell,Jane Smith,Marketing Cloud,Qualification
OPP_86,Opportunity 86,Wayne Enterprises,APAC,Technology,New,Medium,83,10777,2023-10-9,Cross-sell,Jane Smith,Service Cloud,Closed Won
OPP_87,Opportunity 87,Acme Corp,APAC,Healthcare,New,Medium,63,70000,2023-4-16,Cross-sell,Michael Jones,Marketing Cloud,Qualification
OPP_88,Opportunity 88,Litware Inc,APAC,Technology,Pending,Low,40,31714,2023-7-8,Cross-sell,Michael Jones,Service Cloud,Closed Won
OPP_89,Opportunity 89,LexCorp,EMEA,Retail,Pending,High,31,4411,2024-11-7,Upsell,John Doe,Marketing Cloud,Closed Lost
OPP_90,Opportunity 90,LexCorp,APAC,Finance,Closed Lost,Medium,86,42777,2024-7-1,New Business,Jane Smith,Salesforce,Negotiation
OPP_91,Opportunity 91,Wayne Enterprises,North America,Technology,Pending,Medium,84,41254,2024-4-20,New Business,Michael Jones,Service Cloud,Closed Won
OPP_92,Opportunity 92,Wayne Enterprises,North America,Finance,Closed Lost,Low,68,60462,2023-3-23,Cross-sell,Michael Jones,Salesforce,Proposal/Quote
OPP_93,Opportunity 93,Acme Corp,EMEA,Retail,Pending,Low,89,9690,2024-7-3,Cross-sell,Michael Jones,Marketing Cloud,Closed Won
OPP_94,Opportunity 94,LexCorp,APAC,Healthcare,Pending,Low,41,98409,2023-11-9,New Business,John Doe,Salesforce,Proposal/Quote
OPP_95,Opportunity 95,Acme Corp,North America,Retail,Closed Won,Low,86,82826,2023-10-14,Cross-sell,Michael Jones,Salesforce,Closed Lost
OPP_96,Opportunity 96,Litware Inc,South America,Healthcare,Closed Lost,Medium,29,59158,2023-8-10,Upsell,John Doe,Service Cloud,Proposal/Quote
OPP_97,Opportunity 97,Acme Corp,South America,Retail,Closed Won,Medium,79,24703,2023-1-28,New Business,Michael Jones,Service Cloud,Closed Lost
OPP_98,Opportunity 98,Litware Inc,South America,Healthcare,Closed Won,High,25,48265,2023-5-27,New Business,Michael Jones,Marketing Cloud,Negotiation
OPP_99,Opportunity 99,Wayne Enterprises,APAC,Healthcare,Closed Won,Medium,55,60604,2024-5-2,New Business,Michael Jones,Salesforce,Qualification
OPP_100,Opportunity 100,Litware Inc,North America,Healthcare,Closed Lost,Low,79,90169,2023-9-22,Cross-sell,Jane Smith,Salesforce,Negotiation
OPP_101,Opportunity 101,Litware Inc,APAC,Retail,New,High,48,7951,2024-4-24,Upsell,Jane Smith,Salesforce,Closed Lost
OPP_102,Opportunity 102,Acme Corp,North America,Retail,Closed Won,Medium,29,24234,2024-6-28,Cross-sell,Jane Smith,Salesforce,Closed Won
OPP_103,Opportunity 103,LexCorp,North America,Technology,Closed Won,Low,74,26429,2023-2-4,New Business,John Doe,Service Cloud,Negotiation
OPP_104,Opportunity 104,Wayne Enterprises,South America,Healthcare,Closed Won,Medium,51,18912,2023-2-8,Upsell,Jane Smith,Marketing Cloud,Proposal/Quote
OPP_105,Opportunity 105,Wayne Enterprises,EMEA,Healthcare,New,Low,56,1718,2023-9-5,New Business,Michael Jones,Marketing Cloud,Closed Lost
OPP_106,Opportunity 106,Litware Inc,EMEA,Retail,Pending,Medium,41,65971,2024-10-22,Cross-sell,John Doe,Salesforce,Closed Won
OPP_107,Opportunity 107,Wayne Enterprises,APAC,Finance,Closed Won,Low,80,2932,2024-1-1,New Business,John Doe,Service Cloud,Closed Lost
OPP_108,Opportunity 108,Litware Inc,North America,Healthcare,Closed Won,Low,79,64916,2024-4-24,Upsell,Jane Smith,Marketing Cloud,Qualification
OPP_109,Opportunity 109,Wayne Enterprises,North America,Retail,Closed Lost,High,48,3524,2024-8-10,New Business,John Doe,Marketing Cloud,Negotiation
OPP_110,Opportunity 110,Litware Inc,APAC,Finance,Pending,Medium,48,61346,2023-8-20,New Business,John Doe,Service Cloud,Closed Lost
OPP_111,Opportunity 111,LexCorp,APAC,Healthcare,Pending,Medium,23,12936,2024-4-2,Upsell,Jane Smith,Service Cloud,Closed Won
OPP_112,Opportunity 112,Litware Inc,EMEA,Finance,Pending,High,44,56173,2023-11-22,New Business,Michael Jones,Service Cloud,Negotiation
OPP_113,Opportunity 113,Acme Corp,North America,Retail,Closed Won,High,61,74209,2024-11-7,Cross-sell,Michael Jones,Salesforce,Closed Lost
OPP_114,Opportunity 114,LexCorp,South America,Retail,Closed Won,High,20,66047,2024-5-9,Cross-sell,Jane Smith,Service Cloud,Proposal/Quote
OPP_115,Opportunity 115,Litware Inc,EMEA,Healthcare,Pending,Medium,69,92906,2023-1-26,New Business,Jane Smith,Marketing Cloud,Closed Lost
OPP_116,Opportunity 116,LexCorp,South America,Healthcare,Pending,Medium,50,80239,2024-4-13,Cross-sell,Michael Jones,Salesforce,Closed Won
OPP_117,Opportunity 117,Wayne Enterprises,APAC,Technology,New,Low,29,53679,2023-10-8,Upsell,John Doe,Salesforce,Proposal/Quote
OPP_118,Opportunity 118,Litware Inc,APAC,Healthcare,Closed Lost,Medium,26,41123,2023-12-27,New Business,Jane Smith,Service Cloud,Closed Lost
OPP_119,Opportunity 119,Wayne Enterprises,EMEA,Healthcare,New,High,50,55777,2024-3-1,Cross-sell,Jane Smith,Salesforce,Negotiation
OPP_120,Opportunity 120,Litware Inc,EMEA,Finance,Closed Won,High,41,34829,2024-11-17,New Business,Jane Smith,Salesforce,Closed Won
OPP_121,Opportunity 121,LexCorp,North America,Healthcare,Closed Lost,Low,34,10952,2023-5-1,Cross-sell,Michael Jones,Service Cloud,Negotiation
OPP_122,Opportunity 122,Acme Corp,South America,Technology,Pending,Low,31,74283,2024-10-24,Upsell,Jane Smith,Salesforce,Negotiation
OPP_123,Opportunity 123,Wayne Enterprises,North America,Retail,Closed Won,High,77,91801,2024-12-20,New Business,Michael Jones,Marketing Cloud,Closed Lost
OPP_124,Opportunity 124,Litware Inc,North America,Retail,New,High,86,83822,2023-2-1,Cross-sell,John Doe,Salesforce,Closed Won
OPP_125,Opportunity 125,Wayne Enterprises,EMEA,Healthcare,Closed Won,High,42,55298,2024-6-6,Upsell,Michael Jones,Service Cloud,Proposal/Quote
OPP_126,Opportunity 126,Litware Inc,South America,Technology,Closed Lost,Low,84,86279,2023-11-22,Upsell,Michael Jones,Marketing Cloud,Closed Lost
OPP_127,Opportunity 127,LexCorp,APAC,Retail,Pending,Medium,89,97926,2024-8-4,New Business,Michael Jones,Salesforce,Closed Lost
OPP_128,Opportunity 128,Acme Corp,South America,Finance,New,High,54,35112,2024-4-4,Upsell,John Doe,Service Cloud,Proposal/Quote
OPP_129,Opportunity 129,Litware Inc,South America,Technology,Closed Lost,High,72,32015,2024-4-18,Upsell,Michael Jones,Service Cloud,Negotiation
OPP_130,Opportunity 130,Wayne Enterprises,APAC,Technology,New,Medium,30,53279,2023-7-20,New Business,Jane Smith,Marketing Cloud,Negotiation
OPP_131,Opportunity 131,Litware Inc,North America,Technology,Closed Lost,Medium,60,18653,2024-9-28,Upsell,Jane Smith,Marketing Cloud,Qualification
OPP_132,Opportunity 132,LexCorp,South America,Technology,New,Medium,35,80216,2023-8-2,Cross-sell,Jane Smith,Salesforce,Qualification
OPP_133,Opportunity 133,Acme Corp,APAC,Finance,New,Medium,30,88336,2024-10-10,Cross-sell,John Doe,Marketing Cloud,Proposal/Quote
OPP_134,Opportunity 134,Wayne Enterprises,APAC,Technology,Closed Lost,High,74,34036,2024-1-20,Upsell,Jane Smith,Service Cloud,Negotiation
OPP_135,Opportunity 135,Litware Inc,South America,Retail,Closed Won,Medium,55,19427,2024-12-27,New Business,Michael Jones,Salesforce,Closed Lost
OPP_136,Opportunity 136,Wayne Enterprises,North America,Healthcare,Closed Lost,High,69,79719,2023-10-17,Upsell,Jane Smith,Service Cloud,Negotiation
OPP_137,Opportunity 137,LexCorp,APAC,Healthcare,Closed Lost,High,29,88019,2023-12-9,Upsell,John Doe,Service Cloud,Qualification
OPP_138,Opportunity 138,Litware Inc,South America,Healthcare,New,Low,87,18976,2024-9-5,New Business,Jane Smith,Marketing Cloud,Negotiation
OPP_139,Opportunity 139,Acme Corp,EMEA,Retail,Closed Lost,High,60,57330,2024-4-20,Upsell,Michael Jones,Marketing Cloud,Proposal/Quote
OPP_140,Opportunity 140,Litware Inc,EMEA,Healthcare,Closed Won,Low,81,78294,2023-10-26,Cross-sell,Michael Jones,Salesforce,Closed Lost
OPP_141,Opportunity 141,Litware Inc,North America,Technology,Pending,Low,35,56452,2023-6-15,Cross-sell,Michael Jones,Salesforce,Negotiation
OPP_142,Opportunity 142,Acme Corp,North America,Technology,Pending,Low,69,72057,2023-12-9,Upsell,Jane Smith,Service Cloud,Closed Won
OPP_143,Opportunity 143,LexCorp,South America,Retail,Pending,Low,59,19850,2024-8-23,Upsell,Jane Smith,Service Cloud,Qualification
OPP_144,Opportunity 144,Acme Corp,APAC,Retail,New,High,84,79202,2023-7-20,New Business,Jane Smith,Service Cloud,Qualification
OPP_145,Opportunity 145,Acme Corp,APAC,Finance,Closed Lost,Low,47,71645,2023-2-24,Upsell,Jane Smith,Marketing Cloud,Proposal/Quote
OPP_146,Opportunity 146,Acme Corp,North America,Healthcare,Closed Won,Medium,54,21310,2023-12-22,New Business,Jane Smith,Marketing Cloud,Proposal/Quote
OPP_147,Opportunity 147,LexCorp,APAC,Finance,Pending,Low,73,78900,2023-6-27,Upsell,Jane Smith,Salesforce,Negotiation
OPP_148,Opportunity 148,Wayne Enterprises,South America,Healthcare,Closed Lost,High,83,25350,2023-1-20,Cross-sell,Jane Smith,Service Cloud,Closed Lost
OPP_149,Opportunity 149,LexCorp,APAC,Finance,Closed Won,High,75,35778,2024-11-11,Upsell,Michael Jones,Salesforce,Proposal/Quote
OPP_150,Opportunity 150,Acme Corp,APAC,Healthcare,New,Low,57,89076,2023-3-25,New Business,Jane Smith,Salesforce,Negotiation
OPP_151,Opportunity 151,LexCorp,North America,Healthcare,Pending,Medium,20,81378,2024-9-26,Upsell,John Doe,Salesforce,Closed Won
OPP_152,Opportunity 152,Acme Corp,North America,Retail,Closed Lost,Low,32,23499,2023-7-16,Cross-sell,Jane Smith,Service Cloud,Negotiation
OPP_153,Opportunity 153,LexCorp,South America,Technology,Closed Won,Medium,35,27889,2023-11-11,New Business,Michael Jones,Service Cloud,Closed Lost
OPP_154,Opportunity 154,Litware Inc,APAC,Healthcare,Closed Lost,Low,26,93070,2024-1-19,New Business,Michael Jones,Marketing Cloud,Closed Won
OPP_155,Opportunity 155,LexCorp,North America,Technology,Closed Lost,Low,35,50243,2023-12-8,New Business,John Doe,Marketing Cloud,Closed Won
OPP_156,Opportunity 156,Litware Inc,APAC,Finance,Pending,High,72,84897,2023-7-18,Upsell,Jane Smith,Service Cloud,Qualification
OPP_157,Opportunity 157,LexCorp,South America,Finance,Closed Lost,High,68,17280,2023-5-19,Upsell,Michael Jones,Marketing Cloud,Closed Lost
OPP_158,Opportunity 158,Wayne Enterprises,South America,Finance,Closed Won,Low,69,81201,2024-5-27,Upsell,Michael Jones,Salesforce,Closed Won
OPP_159,Opportunity 159,Litware Inc,APAC,Healthcare,Pending,Low,46,99085,2024-3-12,Cross-sell,Jane Smith,Marketing Cloud,Negotiation
OPP_160,Opportunity 160,Litware Inc,North America,Retail,Closed Won,Low,47,77564,2023-4-2,New Business,Michael Jones,Service Cloud,Closed Lost
OPP_161,Opportunity 161,Acme Corp,South America,Technology,Pending,Low,22,4904,2023-9-5,Cross-sell,John Doe,Service Cloud,Proposal/Quote
OPP_162,Opportunity 162,Litware Inc,EMEA,Finance,New,High,90,93153,2024-4-24,Cross-sell,Michael Jones,Service Cloud,Negotiation
OPP_163,Opportunity 163,Litware Inc,South America,Technology,Closed Lost,Medium,30,70867,2023-2-4,Upsell,John Doe,Salesforce,Qualification
OPP_164,Opportunity 164,Wayne Enterprises,APAC,Finance,Pending,Medium,65,93569,2023-12-5,New Business,Jane Smith,Salesforce,Closed Lost
OPP_165,Opportunity 165,Acme Corp,APAC,Healthcare,Pending,High,47,99565,2023-6-23,Cross-sell,Michael Jones,Salesforce,Closed Won
OPP_166,Opportunity 166,LexCorp,North America,Technology,Closed Won,High,77,29993,2023-2-1,New Business,Jane Smith,Salesforce,Closed Won
OPP_167,Opportunity 167,Wayne Enterprises,South America,Finance,Closed Lost,Medium,48,87043,2024-12-12,Cross-sell,John Doe,Salesforce,Closed Lost
OPP_168,Opportunity 168,LexCorp,APAC,Technology,Closed Lost,High,80,5656,2023-7-12,New Business,John Doe,Marketing Cloud,Qualification
OPP_169,Opportunity 169,Litware Inc,EMEA,Retail,Closed Won,High,23,73804,2024-1-7,Cross-sell,John Doe,Service Cloud,Proposal/Quote
OPP_170,Opportunity 170,Acme Corp,APAC,Retail,New,High,88,29491,2024-1-25,Upsell,John Doe,Marketing Cloud,Negotiation
OPP_171,Opportunity 171,Wayne Enterprises,APAC,Finance,New,High,35,26101,2023-12-18,New Business,Jane Smith,Service Cloud,Closed Won
OPP_172,Opportunity 172,Wayne Enterprises,EMEA,Finance,Closed Won,Medium,36,34993,2023-7-12,Upsell,Michael Jones,Marketing Cloud,Negotiation
OPP_173,Opportunity 173,Litware Inc,APAC,Retail,New,Medium,39,76803,2024-5-11,New Business,Jane Smith,Service Cloud,Closed Lost
OPP_174,Opportunity 174,Acme Corp,North America,Technology,Pending,High,23,86958,2024-6-21,Cross-sell,Jane Smith,Marketing Cloud,Qualification
OPP_175,Opportunity 175,Litware Inc,EMEA,Healthcare,Closed Lost,Medium,42,74375,2024-4-23,Upsell,Jane Smith,Salesforce,Negotiation
OPP_176,Opportunity 176,LexCorp,EMEA,Technology,Closed Lost,Low,23,50958,2024-5-25,New Business,Michael Jones,Service Cloud,Negotiation
OPP_177,Opportunity 177,Wayne Enterprises,EMEA,Technology,Pending,Medium,69,46719,2024-6-23,Upsell,John Doe,Service Cloud,Negotiation
OPP_178,Opportunity 178,Wayne Enterprises,South America,Retail,New,High,64,27941,2024-1-1,Upsell,Michael Jones,Marketing Cloud,Qualification
OPP_179,Opportunity 179,Litware Inc,APAC,Finance,Closed Lost,High,45,91271,2024-4-13,Upsell,John Doe,Salesforce,Closed Lost
OPP_180,Opportunity 180,Litware Inc,North America,Retail,New,Medium,28,37775,2024-10-10,Cross-sell,John Doe,Marketing Cloud,Qualification
OPP_181,Opportunity 181,Wayne Enterprises,South America,Finance,Closed Won,Low,84,77056,2023-4-4,Cross-sell,Michael Jones,Service Cloud,Closed Won
OPP_182,Opportunity 182,Acme Corp,EMEA,Retail,Closed Lost,Low,61,80387,2024-5-27,New Business,Michael Jones,Marketing Cloud,Negotiation
OPP_183,Opportunity 183,Litware Inc,EMEA,Technology,New,Medium,21,20700,2023-5-8,Upsell,Jane Smith,Salesforce,Negotiation
OPP_184,Opportunity 184,LexCorp,North America,Healthcare,Pending,Low,67,82309,2023-9-1,Upsell,John Doe,Marketing Cloud,Closed Won
